"","X.x","AGENCY_AREA","REPORTING_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","Orthophosphate, reactive as P_mg/l","Temperature of Water_cel","Oxygen, Dissolved as O2_mg/l","Ammoniacal Nitrogen as N_mg/l","pH_phunits","Nitrogen, Total Oxidised as N_mg/l","BOD : 5 Day ATU_mg/l","Ammonia un-ionised as N_mg/l","Oxygen, Dissolved, % Saturation_%","Solids, Suspended at 105 C_mg/l","Nitrate as N_mg/l","Nitrite as N_mg/l","Phosphorus, Total as P_mg/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"37",394,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","ASH (LEE)","RIVER: Natural/semi-natural flowing fresh watercourse","ASH (LEE)",34359,1,"TL",42420,16910,"TL4242016910","GB106038033290",48,2.1,18.73,1,5,12.33,12,73,8,6,274,NA,NA,NA,"1995-01-01","1979-09-10","2022-05-10",81,FALSE,1,5113,"ASH (LEE)","TL4242016910",346022,1,"",2002-09-04,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",339577,"2002-09-05","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",21,105,5,22,111.4,5.06,23,39,1.7,5,5,5,8.48,14,62,4.43,11.63,17.52,66.38,7,10.64,65.79,19,133,7,24,169,7.04,24,57,42.11,26,50,52,22,113.9,5.18,"No",2002,9,"28D8226A-41AF-4878-8775-63B0DB8BBD87","TH-PLER0004",0.064,14.1,9.18,0.076,7.9,7.325,1.05,0.00155,89.5,5.5,NA,0.04005,NA,"28D8226A-41AF-4878-8775-63B0DB8BBD87",114,440,4,0,61,0,24,40,803,320,47,2044,12,125
"38",395,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","ASH (LEE)","RIVER: Natural/semi-natural flowing fresh watercourse","ASH (LEE)",34360,1,"TL",37700,13300,"TL3770013300","GB106038033290",33,1.7,27.39,1,5,26,7,76,11,5,273,NA,NA,NA,"1995-01-01","1979-09-10","2022-11-23",78,FALSE,1,5168,"ASH (LEE)","TL3770013300",346019,1,"",2002-09-04,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",339580,"2002-09-06","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",34,192,5.65,35,188.4,5.38,28,34,1.21,1,7,7,8.5,23,104,4.52,16.53,22.66,72.95,12.26,16.68,73.5,32,223,6.97,30,225,7.5,29,56,51.79,34,63,53.97,35,188.6,5.39,"No",2002,9,"F60FA473-DB5A-48B0-BC34-B44B92851ADC","TH-PLER0005",0.35,17.1,12.7,0.05,8.1,7.03,1.4,0.0015,132,5.8,NA,0.0564,NA,"F60FA473-DB5A-48B0-BC34-B44B92851ADC",404,245,1,262,0,4,132,160,182,186,69,2072,27,683
"39",397,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","STEVENAGE BROOK",34362,1,"TL",28700,20400,"TL2870020400","GB106038033410",60,2.9,7.17,1,2.5,9.33,6,77,11,6,204,NA,NA,NA,"1995-01-01","1979-08-29","2022-04-12",78,FALSE,1,5230,"STEVENAGE BROOK","TL2870020400",345939,1,"",2002-09-02,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",339462,"2002-09-04","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",14,55,3.93,16,66.9,4.18,NA,NA,NA,NA,NA,NA,NA,12,53,4.42,2.13,2.13,100,2.76,5.19,53.18,12,77,6.42,NA,NA,NA,NA,4,0,11,32,34.38,16,70,4.38,"No",2002,9,"4DA12656-6887-4BB2-8F0A-7494569065C9","TH-PLER0140",0.0773333333333333,18.1333333333333,10.2,0.0423333333333333,8.16666666666667,4.23333333333333,1.5,0.0014,108.333333333333,NA,NA,NA,NA,"4DA12656-6887-4BB2-8F0A-7494569065C9",112,63,0,0,7,0,3,0,114,82,18,411,2,10
"40",442,"THAMES - WEST","THAMES","CHERWELL AND RAY (OXON)","RIVER: Natural/semi-natural flowing fresh watercourse","OXON RAY",34676,1,"SP",68098,21070,"SP6809821070","GB106039030100",69,1.1,7.56,2,2,32.33,2,10,12,77,213,NA,NA,NA,"1995-01-01","1995-05-04","2016-11-11",17,FALSE,1,5516,"OXON RAY","SP6809821070",353427,1,"",2002-10-31,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",347727,"2002-10-31","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",12,42,3.5,15,49.9,3.33,NA,NA,NA,NA,NA,NA,NA,10,24,2.4,NA,0.86,0,0.75,4.87,15.4,12,70,5.83,NA,NA,NA,NA,3,0,2,27,7.41,15,52.8,3.52,"No",2002,10,"09C49C45-BF1A-4D94-9C87-A82771FC0FD7","TH-PCHR0042",6.34,15.6,7.13,0.215,7.9,19.3,2.9,0.0047,71.9,NA,NA,NA,NA,"09C49C45-BF1A-4D94-9C87-A82771FC0FD7",61,51,0,11,0,0,3,0,42,12,17,184,1,3
"41",468,"THAMES - WEST","THAMES","COLN","RIVER: Natural/semi-natural flowing fresh watercourse","COLN",35049,1,"SP",3183,15288,"SP0318315288","GB106039029991",145,3.5,13.46,4,2.9,26.67,4,49,33,13,184,NA,NA,NA,"1995-01-01","1991-01-14","2008-10-23",14,FALSE,1,5674,"COLN","SP0318315288",353422,1,"",2002-10-08,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",347503,"2002-10-08","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",21,128,6.1,25,139.6,5.58,NA,NA,NA,NA,NA,NA,NA,16,81,5.06,1.76,3.6,48.89,6.77,10.64,63.63,19,146,7.68,NA,NA,NA,NA,4,0,27,47,57.45,25,145.5,5.82,"No",2002,10,"0D19654D-3927-4701-8B36-7DD10531252A","TH-PUTR0040",0.153333333333333,13.8,10.1933333333333,0.0433333333333333,8.09333333333333,8,1.6,0.0008,98.8,19.2333333333333,NA,0.0395,NA,"0D19654D-3927-4701-8B36-7DD10531252A",200,0,0,9,107,0,115,0,250,41,26,2734,10,222
"42",480,"THAMES - WEST","THAMES","THAME","RIVER: Natural/semi-natural flowing fresh watercourse","WENDOVER BROOK",35091,1,"SP",86092,12623,"SP8609212623","GB106039030380",88,2.4,5.9,1,1.8,12.33,2,60,27,12,251,NA,NA,NA,"1995-01-01","1990-08-16","2016-09-23",19,FALSE,1,5757,"WENDOVER BROOK","SP8609212623",353466,1,"",2002-10-30,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",347666,"2002-10-30","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",25,124,4.96,26,129.2,4.97,NA,NA,NA,NA,NA,NA,NA,17,75,4.41,2.26,2.75,82.18,9.54,16.34,58.38,24,167,6.96,NA,NA,NA,NA,4,0,30,64,46.88,26,134.4,5.17,"No",2002,10,"265C3262-46EA-4082-BE6E-B074BD6A9FAC","TH-PTAR0038",0.0273333333333333,16.6933333333333,9.26666666666667,0.03,8.19666666666667,1.37333333333333,4.7,0.0009,95.4,NA,NA,NA,NA,"265C3262-46EA-4082-BE6E-B074BD6A9FAC",413,2040,11,207,278,0,23,0,229,3532,31,6740,7,301
"43",484,"THAMES - WEST","THAMES","THAME","RIVER: Natural/semi-natural flowing fresh watercourse","TIDDINGTON BROOK",35095,1,"SP",64879,6048,"SP6487906048","GB106039030240",64,0.8,2.8,1,1.2,17,0,3,40,57,127,NA,NA,NA,"1995-01-01","1990-08-20","2009-10-23",13,FALSE,1,5802,"TIDDINGTON BROOK","SP6487906048",353462,1,"",2002-09-30,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",347589,"2002-09-30","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,76,4.75,18,88.1,4.89,NA,NA,NA,NA,NA,NA,NA,14,62,4.43,2.26,2.63,85.93,3.01,7.37,40.84,14,95,6.79,NA,NA,NA,NA,4,0,11,33,33.33,18,88.6,4.92,"No",2002,9,"BB697E7D-2B02-4351-9F23-239B3E1D8EDA","TH-PTAR0105",2.4025,16.615,8.55,0.045,8.115,14.24,2.15,0.0013,88.025,NA,NA,NA,NA,"BB697E7D-2B02-4351-9F23-239B3E1D8EDA",100,59,0,9,1,0,1,0,113,1074,23,1358,2,2
"44",492,"THAMES - WEST","THAMES","KENNET","RIVER: Natural/semi-natural flowing fresh watercourse","BURGHFIELD BROOK",35104,1,"SU",69812,69159,"SU6981269159","GB106039017410",39,1.2,7.6,1,1.5,21.67,0,33,32,35,135,NA,NA,NA,"1995-01-01","1990-08-24","2014-09-15",19,FALSE,1,5857,"BURGHFIELD BROOK","SU6981269159",352882,1,"",2002-11-21,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",346015,"2003-01-28","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",17,89,5.24,18,96.6,5.37,NA,NA,NA,NA,NA,NA,NA,14,67,4.79,1.63,1.63,100,2.75,5.21,52.78,15,104,6.93,NA,NA,NA,NA,3,0,16,31,51.61,18,99.8,5.54,"No",2002,11,"6B8B9883-F0C3-47D8-87C7-FA990D114B4F","TH-PKER0007",0.4205,16.75,8.975,0.0865,8.03,1.91,1.65,0.00245,92.85,NA,NA,NA,NA,"6B8B9883-F0C3-47D8-87C7-FA990D114B4F",20,110,10,4,41,3,1,0,33,0,18,223,4,42
"45",507,"THAMES - WEST","THAMES","KENNET","RIVER: Natural/semi-natural flowing fresh watercourse","FROXFIELD STREAM",35137,1,"SU",30305,67945,"SU3030567945","GB106039017430",108,3.6,3.23,1,2.9,31,13,40,27,20,252,NA,NA,NA,"1995-01-01","1990-06-01","2016-10-18",20,FALSE,1,5973,"FROXFIELD STREAM","SU3030567945",353416,1,"",2002-09-24,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",347674,"2002-09-24","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",24,119,4.96,27,141.4,5.24,NA,NA,NA,NA,NA,NA,NA,18,86,4.78,2.76,3.25,84.92,7.79,12.16,64.06,23,164,7.13,NA,NA,NA,NA,4,0,28,55,50.91,27,141.6,5.24,"No",2002,9,"ECCA6042-1C23-4DFE-A272-C2A7A673A4EC","TH-PKER0150",0.0616666666666667,12.2833333333333,11.1333333333333,0.0306666666666667,7.99666666666667,5.76666666666667,1.76666666666667,0.000633333333333333,104.266666666667,NA,NA,NA,NA,"ECCA6042-1C23-4DFE-A272-C2A7A673A4EC",313,7005,40,7,851,0,305,0,88,55,28,8667,7,1156
"46",512,"THAMES - WEST","THAMES","OCK","RIVER: Natural/semi-natural flowing fresh watercourse","MARCHAM BROOK",35143,1,"SU",42663,98795,"SU4266398795","GB106039023420",68,3.3,8.5,1,2.2,39,1,6,23,70,256,NA,NA,NA,"1995-01-01","1995-03-08","2013-10-24",16,FALSE,1,6008,"MARCHAM BROOK","SU4266398795",352049,1,"",2002-10-29,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",345003,"2003-01-07","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",13,50,3.85,15,53.8,3.59,NA,NA,NA,NA,NA,NA,NA,10,35,3.5,1,1.37,72.99,1,3.45,28.99,12,74,6.17,NA,NA,NA,NA,3,0,5,29,17.24,15,55,3.67,"No",2002,10,"2880130C-8135-43D4-98F3-FA550FB18E72","TH-POCR0010",2.496,14.66,7.308,0.9534,7.762,15.94,2.58,0.01322,72,NA,NA,NA,NA,"2880130C-8135-43D4-98F3-FA550FB18E72",80,21,20,1,0,2,0,0,41,80,16,245,0,0
"47",515,"THAMES - WEST","THAMES","THAMES SOURCE TO TEDDINGTON (W SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","MILL BROOK",35159,1,"SU",56588,88439,"SU5658888439","GB106039023600",48,2,6.81,1,3.7,25,0,35,38,27,255,NA,NA,NA,"1995-01-01","1990-05-16","2015-03-18",23,FALSE,1,6031,"MILL BROOK","SU5658888439",354016,1,"",2002-11-18,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",348909,"2003-03-11","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",25,113,4.52,25,112.8,4.51,20,27,1.35,3,5,5,6.75,18,91,5.06,10.01,16,62.56,6.04,10.89,55.46,24,165,6.88,25,176,7.04,23,52,44.23,23,51,45.1,25,118.4,4.74,"No",2002,11,"E95682D5-A5AB-46A6-B463-ECA2B238E5FB","TH-PTHR0137",0.239,15.6,10.5,0.09,8.26,9.1,1.5,0.0025,105.7,NA,NA,NA,NA,"E95682D5-A5AB-46A6-B463-ECA2B238E5FB",0,0,0,24,0,0,2,0,72,251,51,595,14,37
"48",523,"THAMES - WEST","THAMES","THAME","RIVER: Natural/semi-natural flowing fresh watercourse","LEWKNOR BROOK",35214,1,"SU",67899,97504,"SU6789997504","GB106039023750",87,5,5,1,0.9,23.33,0,10,57,33,227,NA,NA,NA,"1995-01-01","1990-02-06","2016-09-21",17,FALSE,1,6118,"LEWKNOR BROOK","SU6789997504",353448,1,"",2002-09-30,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",347579,"2002-09-30","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,73,4.56,18,83.7,4.65,NA,NA,NA,NA,NA,NA,NA,12,47,3.92,0.5,0.99,50.51,2.76,7.58,36.41,15,101,6.73,NA,NA,NA,NA,4,0,12,34,35.29,18,88.1,4.89,"No",2002,9,"2D43CDEB-9A56-4689-9A3A-934BF4CDA14D","TH-PTAR0117",0.294666666666667,16.6133333333333,8.96666666666667,0.0576666666666667,8.21333333333333,3.58,1.7,0.00173333333333333,92.2,NA,NA,NA,NA,"2D43CDEB-9A56-4689-9A3A-934BF4CDA14D",420,63,0,45,2,0,9,0,721,804,21,2074,4,11
"49",524,"THAMES - WEST","THAMES","THAME","RIVER: Natural/semi-natural flowing fresh watercourse","DORTON BROOK",35215,1,"SP",68480,14190,"SP6848014190","GB106039030400",70,3.3,4.4,1,1.5,16.67,2,37,10,51,236,NA,NA,NA,"1995-01-01","1990-02-06","2005-11-15",12,FALSE,1,6128,"DORTON BROOK","SP6848014190",353451,1,"",2002-10-31,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",347524,"2002-10-31","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",14,56,4,17,71.9,4.23,NA,NA,NA,NA,NA,NA,NA,12,38,3.17,1.26,2,63,1.5,3.46,43.35,12,74,6.17,NA,NA,NA,NA,4,0,6,26,23.08,17,74.6,4.39,"No",2002,10,"1754C465-C6F8-4C8F-B918-EE86212195E6","TH-PTAR0099",2.47333333333333,19.06,8.60333333333333,0.740666666666667,8.02,10.8633333333333,2.33333333333333,0.0228666666666667,93.0333333333333,NA,NA,NA,NA,"1754C465-C6F8-4C8F-B918-EE86212195E6",411,57,0,13,1,0,0,0,77,10,23,571,1,1
"50",532,"THAMES - WEST","THAMES","CHERWELL AND RAY (OXON)","RIVER: Natural/semi-natural flowing fresh watercourse","DEDDINGTON BROOK",35224,1,"SP",48014,30108,"SP4801430108","GB106039037190",85,0.9,14.2,1,1.9,22.67,0,12,15,73,222,NA,NA,NA,"1995-01-01","1990-01-24","2022-04-28",19,FALSE,1,6177,"DEDDINGTON BROOK","SP4801430108",351187,1,"",2002-11-26,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",344055,"2002-12-03","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,103,5.42,20,111.9,5.6,19,39,2.05,5,5,5,10.26,15,78,5.2,9.13,12.81,71.27,4.76,6.95,68.49,17,121,7.12,22,167,7.59,19,34,55.88,17,29,58.62,20,112.1,5.61,"No",2002,11,"27949071-C731-4691-BC7B-5DEF26D4F563","TH-PCHR0159",0.034,13.8,9.885,0.0555,8.1,5.79,1.15,0.0014,95.75,NA,NA,NA,NA,"27949071-C731-4691-BC7B-5DEF26D4F563",7,0,0,0,0,0,0,0,0,0,45,322,17,246
"51",545,"THAMES - WEST","THAMES","PANG AND SUL","RIVER: Natural/semi-natural flowing fresh watercourse","SULHAM BROOK",35262,1,"SU",64522,76792,"SU6452276792","GB106039023280",39,0.3,5.96,1,2.8,31.67,3,15,20,62,250,NA,NA,NA,"1995-01-01","1990-04-25","2014-10-30",23,FALSE,1,6307,"SULHAM BROOK","SU6452276792",352175,1,"",2002-11-21,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",345177,"2003-01-07","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",13,46,3.54,15,50.7,3.38,NA,NA,NA,NA,NA,NA,NA,10,37,3.7,0.63,1.12,56.25,1,4.65,21.51,12,68,5.67,NA,NA,NA,NA,3,0,2,26,7.69,15,53.7,3.58,"No",2002,11,"BA9186AF-BC3A-4F2F-86F4-8EA77C5CF9DD","TH-PPSR0007",1.101,17.09,4.33666666666667,5.49333333333333,7.59333333333333,15.3,4.1,0.0718,44.7666666666667,NA,NA,NA,NA,"BA9186AF-BC3A-4F2F-86F4-8EA77C5CF9DD",104,45,0,6,0,0,2,0,64,43,16,264,1,2
"52",549,"THAMES - WEST","THAMES","EVENLODE","RIVER: Natural/semi-natural flowing fresh watercourse","GLYME",35268,1,"SP",44239,17003,"SP4423917003","GB106039029940",79,2,24.22,3,5.9,60,17,40,25,18,247,NA,NA,NA,"1995-01-01","1990-04-04","2015-03-26",24,FALSE,1,6347,"GLYME","SP4423917003",347130,1,"",2002-09-12,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local monitoring",340658,"2002-09-16","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",21,117,5.57,22,127,5.77,22,39,1.77,5,5,5,8.86,16,79,4.94,12.38,16.66,74.31,8.52,12.88,66.15,18,132,7.33,25,188,7.52,29,51,56.86,24,42,57.14,22,126.7,5.76,"No",2002,9,"74100599-7082-4783-AD33-9505F7F2351F","TH-PEVR0018",0.252,15.2,9.41,0.0953333333333333,7.96666666666667,8.06,1.53333333333333,0.00236666666666667,92.85,13.4,NA,0.0612666666666667,NA,"74100599-7082-4783-AD33-9505F7F2351F",200,0,0,0,0,0,0,0,0,0,49,926,16,115
"53",551,"THAMES - WEST","THAMES","THAME","RIVER: Natural/semi-natural flowing fresh watercourse","HOLTON BROOK",35270,1,"SP",61807,6231,"SP6180706231","GB106039030360",57,0.9,15.3,1,2,45,8,33,10,48,231,NA,NA,NA,"1995-01-01","1990-03-23","2016-11-08",24,FALSE,1,6369,"HOLTON BROOK","SP6180706231",351241,1,"",2002-11-05,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",344103,"2002-12-10","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",18,102,5.67,19,94,4.95,NA,NA,NA,NA,NA,NA,NA,13,63,4.85,0.5,0.5,100,3.02,8.1,37.28,16,105,6.56,NA,NA,NA,NA,3,0,10,31,32.26,19,98.4,5.18,"No",2002,11,"5FD47B3E-26CC-41EA-86D4-0E4B6F265C1F","TH-PTAR0014",0.5935,13.9,7.535,0.0535,8.055,4.53,2.8,0.00135,72.95,NA,NA,NA,NA,"5FD47B3E-26CC-41EA-86D4-0E4B6F265C1F",80,40,0,13,15,1,36,0,121,90,19,398,6,51
"54",553,"THAMES - WEST","THAMES","OCK","RIVER: Natural/semi-natural flowing fresh watercourse","MARCHAM BROOK",35272,1,"SU",45530,96122,"SU4553096122","GB106039023420",55,1.4,13.4,1,2.3,17.67,8,27,38,27,247,NA,NA,NA,"1995-01-01","1990-04-24","2013-09-03",25,FALSE,1,6384,"MARCHAM BROOK","SU4553096122",350653,1,"",2002-10-11,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",343593,"2002-11-22","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",28,148,5.29,29,153.9,5.31,NA,NA,NA,NA,NA,NA,NA,19,83,4.37,1.13,1.13,100,7.03,12.85,54.71,26,182,7,NA,NA,NA,NA,3,0,24,54,44.44,29,154.5,5.33,"No",2002,10,"CCE44816-12A8-42E4-B60D-5BAF9748B58B","TH-POCR0011",1.3575,14.825,10.3625,0.08775,8.1825,7.6375,1.925,0.002275,102.525,NA,NA,NA,NA,"CCE44816-12A8-42E4-B60D-5BAF9748B58B",48,1011,1,306,73,2,33,0,14,883,31,2372,8,106
"55",578,"THAMES - WEST","THAMES","THAMES SOURCE TO TEDDINGTON (W SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","NORTHFIELD BROOK",35382,1,"SP",54464,2442,"SP5446402442","GB106039030180",58,1,5.62,1,3.3,25.33,10,43,37,10,249,NA,NA,NA,"1995-01-01","1995-03-08","2005-11-02",9,FALSE,1,6621,"NORTHFIELD BROOK","SP5446402442",353449,1,"",2002-10-29,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",347511,"2002-10-29","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",13,53,4.08,15,58.4,3.89,NA,NA,NA,NA,NA,NA,NA,10,38,3.8,1,1.37,72.99,2.5,4.67,53.53,11,74,6.73,NA,NA,NA,NA,3,0,9,27,33.33,15,61,4.07,"No",2002,10,"01F9D74B-8996-41A9-BD43-2163E246494F","TH-PTHR0047",0.063,15.9333333333333,8.39,0.136666666666667,7.74,5.27666666666667,1.1,0.00213333333333333,85.1,NA,NA,NA,NA,"01F9D74B-8996-41A9-BD43-2163E246494F",92,26,0,3,3,0,2,0,82,17,19,229,3,5
"56",600,"THAMES - WEST","THAMES","CHERWELL AND RAY (OXON)","RIVER: Natural/semi-natural flowing fresh watercourse","GALLOS BROOK",35471,1,"SP",53079,14231,"SP5307914231","GB106039030080",58,0.9,14.7,1,2.7,13.33,4,50,23,23,242,NA,NA,NA,"1995-01-01","1989-10-12","2005-09-29",21,FALSE,1,6929,"GALLOS BROOK","SP5307914231",353428,1,"",2002-09-12,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",347726,"2002-09-12","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",24,134,5.58,26,149.5,5.75,NA,NA,NA,NA,NA,NA,NA,19,93,4.89,3.13,3.5,89.43,8.25,10.91,75.62,22,164,7.45,NA,NA,NA,NA,3,0,28,45,62.22,26,148.4,5.71,"No",2002,9,"1278C8DA-B83E-4F3D-949A-CD0DC07562CC","TH-PCHR0029",0.542333333333333,15.1733333333333,9.54666666666667,0.0333333333333333,8.30666666666667,6.90666666666667,1.4,0.0009,95.2666666666667,NA,NA,NA,NA,"1278C8DA-B83E-4F3D-949A-CD0DC07562CC",40,405,0,84,28,4,81,10,557,25,30,1250,8,119
