"","AGENCY_AREA","REPORTING_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG","FULL_EASTING","FULL_NORTHING","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV"
"3115","THAMES - SOUTH EAST","KENT SOUTH LONDON AND EAST SUSSEX","DARENT","RIVER: Natural/semi-natural flowing fresh watercourse","CRAY",161423,1,"TQ",47208,67914,"TQ4720867914",547208,167914,"GB106040023990",,,,,,,,,,,,,,,,2013-03-01,2013-10-24,2,FALSE
"3116","THAMES - SOUTH EAST","KENT SOUTH LONDON AND EAST SUSSEX","DARENT","RIVER: Natural/semi-natural flowing fresh watercourse","CRAY",161424,1,"TQ",48358,72111,"TQ4835872111",548358,172111,"GB106040023990",,,,,,,,,,,,,,,,2013-03-01,2013-10-24,2,FALSE
"3117","THAMES - SOUTH EAST","KENT SOUTH LONDON AND EAST SUSSEX","WANDLE","RIVER: Natural/semi-natural flowing fresh watercourse","WANDLE",161425,1,"TQ",31522,65687,"TQ3152265687",531522,165687,"GB106039017640",,,,,,,,,,,,,,,,2013-03-27,2013-11-20,2,FALSE
"3118","THAMES - SOUTH EAST","KENT SOUTH LONDON AND EAST SUSSEX","RAVENSBOURNE","RIVER: Natural/semi-natural flowing fresh watercourse","RAVENSBOURNE",161426,1,"TQ",37260,73159,"TQ3726073159",537260,173159,"GB106039023250",,,,,,,,,,,,,,,,2013-03-27,2013-11-20,2,FALSE
"3119","SOUTHERN - KENT & E. SUSSEX","KENT SOUTH LONDON AND EAST SUSSEX","TEISE","RIVER: Natural/semi-natural flowing fresh watercourse","BEWL",161427,1,"TQ",68655,34813,"TQ6865534813",568655,134813,"GB106040018500",42,1.7,6.6,1,,,,,,,69.8,,,,2014-01-01,2015-05-21,2015-05-21,1,FALSE
"3120","SOUTH WEST - SOUTH WESSEX","WESSEX","UPPER H AVON","RIVER: Natural/semi-natural flowing fresh watercourse","HAMPSHIRE AVON (WESTERN)",161820,1,"SU",7264,58218,"SU0726458218",407264,158218,"GB108043022430",100,3,8.4,1,3.6,47.7,0,3,1,96,258.6,,,,2013-01-01,2013-04-15,2021-11-30,6,FALSE
"3121","THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","CRANE","RIVER: Natural/semi-natural flowing fresh watercourse","CRANE",162248,1,"TQ",10936,75266,"TQ1093675266",510936,175266,"GB106039023030",,,,,,,,,,,,,,,,2013-03-13,2013-03-13,1,FALSE
"3122","THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","CRANE","RIVER: Natural/semi-natural flowing fresh watercourse","CRANE",162249,1,"TQ",10890,75289,"TQ1089075289",510890,175289,"GB106039023030",,,,,,,,,,,,,,,,2013-03-13,2013-03-13,1,FALSE
"3123","SOUTHERN - SOLENT & S. DOWNS","SOLENT AND SOUTH DOWNS","ARUN","RIVER: Natural/semi-natural flowing fresh watercourse","LOXWOOD STREAM",162379,1,"TQ",1156,33766,"TQ0115633766",501156,133766,"GB107041017970",25,1.9,16.2,3,2.3,125,0,5,5,90,65,,,,2013-10-01,2013-05-16,2013-11-20,2,FALSE
"3124","ANGLIAN - CENTRAL","EAST ANGLIA - WEST","UPPER OUSE","RIVER: Natural/semi-natural flowing fresh watercourse","LOUGHTON BROOK",163059,1,"SP",82565,41523,"SP8256541523",482565,241523,"GB105033037900",70,3,14.7,1,4,16,1,83,6,10,177.3,,,,2014-01-27,2013-04-11,2018-05-30,5,FALSE
"3125","SOUTHERN - KENT & E. SUSSEX","KENT SOUTH LONDON AND EAST SUSSEX","GREAT STOUR","RIVER: Natural/semi-natural flowing fresh watercourse","RICHBOROUGH STREAM",163324,1,"TR",29723,61447,"TR2972361447",629723,161447,"GB107040019600",5,0.3,57,2,4.1,70,0,27,20,53,303.6,,,,2021-06-21,2021-04-28,2022-11-02,3,FALSE
"3126","THAMES - WEST","THAMES","CHERWELL AND RAY (OXON)","RIVER: Natural/semi-natural flowing fresh watercourse","HANWELL BROOK",163399,1,"SP",45243,42837,"SP4524342837",445243,242837,"GB106039037340",95,1,10.94,1,2.9,33.3,7,24,2,67,157,,,,2013-12-01,2013-04-23,2013-10-10,2,FALSE
"3127","THAMES - SOUTH EAST","KENT SOUTH LONDON AND EAST SUSSEX","DARENT","RIVER: Natural/semi-natural flowing fresh watercourse","CRAY",163479,1,"TQ",51328,74669,"TQ5132874669",551328,174669,"GB106040023990",6,4,10.2,2,5,61.4,45,34,16,5,244,,,,2016-12-01,2013-04-24,2020-10-20,19,FALSE
"3128","THAMES - WEST","THAMES","THAMES SOURCE TO TEDDINGTON (W SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","MARSTON MEYSEY BROOK",163720,1,"SU",12472,97076,"SU1247297076",412472,197076,"GB106039023860",78,1.1,5.93,1,3,38.5,4,71,25,0,225,,,,2013-10-01,2013-04-30,2016-10-07,4,FALSE
"3129","THAMES - WEST","THAMES","THAMES SOURCE TO TEDDINGTON (W SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","CHURN",163741,1,"SP",3012,1797,"SP0301201797",403012,201797,"GB106039029750",110,2,18,2,5,32,40,45,10,5,200,,,,2016-11-23,2013-05-01,2022-09-29,18,FALSE
"3130","SOUTHERN - KENT & E. SUSSEX","KENT SOUTH LONDON AND EAST SUSSEX","GREAT STOUR","RIVER: Natural/semi-natural flowing fresh watercourse","KENNINGTON STREAM",164162,1,"TR",3158,45395,"TR0315845395",603158,145395,"GB107040019741",,,,,,,,,,,,,,,,2013-05-14,2013-05-14,1,FALSE
"3131","SOUTHERN - KENT & E. SUSSEX","KENT SOUTH LONDON AND EAST SUSSEX","GREAT STOUR","RIVER: Natural/semi-natural flowing fresh watercourse","KENNINGTON STREAM",164163,1,"TR",3270,45354,"TR0327045354",603270,145354,"GB107040019741",,,,,,,,,,,,,,,,2013-05-14,2013-05-14,1,FALSE
"3132","SOUTHERN - KENT & E. SUSSEX","KENT SOUTH LONDON AND EAST SUSSEX","EDEN (KENT)","RIVER: Natural/semi-natural flowing fresh watercourse","EDEN (KENT)",164164,1,"TQ",41161,51112,"TQ4116151112",541161,151112,"GB106040018160",,,,,,,,,,,,,,,,2013-05-14,2013-10-09,3,FALSE
"3133","THAMES - WEST","THAMES","KENNET","RIVER: Natural/semi-natural flowing fresh watercourse","DUN (KENNET)",164259,1,"SU",28181,64796,"SU2818164796",428181,164796,"GB106039017350",,,,,,,,,,,,,,,,2013-05-17,2015-10-20,6,FALSE
"3134","THAMES - WEST","THAMES","KENNET","RIVER: Natural/semi-natural flowing fresh watercourse","DUN (KENNET)",164260,1,"SU",32446,68624,"SU3244668624",432446,168624,"GB106039017390",,,,,,,,,,,,,,,,2013-05-17,2015-10-20,6,FALSE
"3135","ANGLIAN - EASTERN","EAST ANGLIA - EAST","CHELMER","RIVER: Natural/semi-natural flowing fresh watercourse","STEBBING BROOK",164339,1,"TL",66104,23768,"TL6610423768",566104,223768,"GB105037041190",50,9.6,4.9,1,2.3,15,5,45,45,5,245,,,,2013-12-06,2013-05-22,2013-10-10,2,FALSE
"3136","THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","CHING BROOK",164499,1,"TQ",39953,93990,"TQ3995393990",539953,193990,"GB106038027930",,,,,,,,,,,,,,,,2017-04-12,2019-10-29,6,FALSE
"3137","THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","CHING BROOK",164500,1,"TQ",39887,93834,"TQ3988793834",539887,193834,"GB106038027930",,,,,,,,,,,,,,,,2017-04-12,2019-10-29,7,FALSE
"3138","THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","CRANE","RIVER: Natural/semi-natural flowing fresh watercourse","CRANE",164565,1,"TQ",15076,73314,"TQ1507673314",515076,173314,"GB106039023030",10,1.4,29,2,8,5,0,5,5,90,216,,,,2019-07-08,2017-10-10,2022-10-19,11,FALSE
