"","AGENCY_AREA","REPORTING_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG","FULL_EASTING","FULL_NORTHING","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV"
"1","SOUTH WEST - NORTH WESSEX","WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","RODBOURNE BROOK",7760,1,"ST",94099,83184,"ST9409983184",394099,183184,"GB109053027720",60,3,11.2,1,2.8,29.33,8,65,20,7,250.1,631,,,1995-01-01,1995-03-30,2022-04-27,14,FALSE
"2","SOUTH WEST - NORTH WESSEX","WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","BRISTOL AVON",7764,1,"ST",95800,78750,"ST9580078750",395800,178750,"",60,0.9,33.5,5,12.8,147.67,17,42,8,33,238.2,667,,,1995-01-01,1995-04-04,2000-03-21,3,FALSE
"3","SOUTH WEST - NORTH WESSEX","WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","SHERSTON AVON",7771,1,"ST",92900,87250,"ST9290087250",392900,187250,"GB109053027690",80,1.6,18.9,3,8.5,126.57,10,40,10,40,232.2,603.7,,,1995-01-01,1995-03-27,2008-10-16,11,FALSE
"4","SOUTH WEST - NORTH WESSEX","WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","BRISTOL AVON",7772,1,"ST",94150,86900,"ST9415086900",394150,186900,"",70,1.5,20.3,4,9.7,152.23,12,30,20,38,229.4,626,,,1995-01-01,1995-03-27,2000-03-07,3,FALSE
"5","SOUTH WEST - NORTH WESSEX","WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","CHARLTON STREAM",7773,1,"ST",95694,87708,"ST9569487708",395694,187708,"GB109053027770",70,1.4,8.2,1,3.3,14,10,73,13,3,234.2,603.3,,,1995-01-01,1995-03-27,2014-10-21,9,FALSE
"6","SOUTH WEST - NORTH WESSEX","WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","CHARLTON STREAM",7774,1,"ST",94800,86560,"ST9480086560",394800,186560,"GB109053027770",70,1.4,9.9,2,5.3,18.21,25,65,8,2,219.6,548,,,1995-01-01,1995-03-27,2008-10-16,7,FALSE
"7","SOUTH WEST - NORTH WESSEX","WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","SUTTON BENGER STREAM",7776,1,"ST",94647,79010,"ST9464779010",394647,179010,"GB109053027700",60,2.2,9,1,2.5,25.67,7,60,23,10,228.1,785,,,1995-01-01,1995-04-04,2016-11-10,11,FALSE
"8","SOUTH WEST - NORTH WESSEX","WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","BRISTOL AVON",7777,1,"ST",97897,82198,"ST9789782198",397897,182198,"GB109053027650",60,0.9,27.8,5,12.8,116.67,3,65,23,8,243.1,640.3,,,1995-01-01,1995-03-30,2016-10-20,11,FALSE
"9","SOUTH WEST - NORTH WESSEX","WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","BRISTOL AVON",7778,1,"ST",95987,78133,"ST9598778133",395987,178133,"GB109053027650",60,0.9,34,5,12.8,147.67,20,48,8,23,240.6,658.3,,,1995-01-01,1995-04-04,2016-11-10,13,FALSE
"10","SOUTH WEST - NORTH WESSEX","WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","GAUZE BROOK",7789,1,"ST",93800,84050,"ST9380084050",393800,184050,"GB109053027730",70,1.8,12.05,1,4.8,14.75,10,63,23,3,254.5,873,,,1995-01-01,1995-03-30,2004-09-30,6,FALSE
"11","SOUTH WEST - NORTH WESSEX","WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","BRISTOL AVON",7814,1,"ST",96490,83200,"ST9649083200",396490,183200,"GB109053027650",60,0.9,25.7,5,10.8,122,8,35,20,37,238,627,,,1995-01-01,1995-04-04,2008-10-16,15,FALSE
"12","SOUTH WEST - NORTH WESSEX","WESSEX","MARDEN","RIVER: Natural/semi-natural flowing fresh watercourse","RIVERS BROOK",7816,1,"SU",700,70250,"SU0070070250",400700,170250,"GB109053022050",80,6.2,3.8,1,1.9,23.33,2,42,20,37,232.1,812.3,,,1995-01-01,1995-04-05,2004-09-30,10,FALSE
"13","SOUTH WEST - NORTH WESSEX","WESSEX","BRINKWORTH BK","RIVER: Natural/semi-natural flowing fresh watercourse","BRINKWORTH BROOK",7818,1,"SU",7250,81050,"SU0725081050",407250,181050,"GB109053027740",90,30.7,50.5,1,1.7,6.78,8,67,17,8,272.2,702.7,,,1995-01-01,1995-04-28,2006-11-09,8,FALSE
"14","SOUTH WEST - NORTH WESSEX","WESSEX","BRINKWORTH BK","RIVER: Natural/semi-natural flowing fresh watercourse","HANCOCKS WATER",7819,1,"SU",7600,81500,"SU0760081500",407600,181500,"",90,3.2,1.2,1,0.8,14.5,8,25,8,60,211.7,855,,,1995-01-01,1995-04-28,2000-11-23,4,FALSE
"15","SOUTH WEST - NORTH WESSEX","WESSEX","BRINKWORTH BK","RIVER: Natural/semi-natural flowing fresh watercourse","HANCOCKS WATER",7820,1,"SU",7150,81200,"SU0715081200",407150,181200,"GB109053027740",90,3.2,1.6,1,1.9,16.1,0,33,28,38,250.4,1705,,,1995-01-01,1995-04-28,2008-10-08,10,FALSE
"16","SOUTH WEST - NORTH WESSEX","WESSEX","BRINKWORTH BK","RIVER: Natural/semi-natural flowing fresh watercourse","BRINKWORTH BROOK",7821,1,"SU",5683,81690,"SU0568381690",405683,181690,"GB109053027740",90,30.7,7.4,1,3.8,10.3,15,73,8,3,258,1711.3,,,1995-01-01,1995-04-28,2014-10-23,16,FALSE
"17","SOUTH WEST - NORTH WESSEX","WESSEX","BRINKWORTH BK","RIVER: Natural/semi-natural flowing fresh watercourse","BRINKWORTH BROOK",7822,1,"SU",1274,83964,"SU0127483964",401274,183964,"GB109053027740",60,1.5,14.6,1,2.9,38,2,33,32,33,280.3,1242.3,,,1995-01-01,1995-04-04,2014-10-10,12,FALSE
"18","SOUTH WEST - NORTH WESSEX","WESSEX","BRINKWORTH BK","RIVER: Natural/semi-natural flowing fresh watercourse","BRINKWORTH BROOK",7823,1,"ST",97710,83826,"ST9771083826",397710,183826,"GB109053027740",60,1.1,19.3,1,3.1,20,5,83,10,2,277.9,1185,,,1995-01-01,1995-04-04,2014-10-09,12,FALSE
"19","SOUTH WEST - NORTH WESSEX","WESSEX","MARDEN","RIVER: Natural/semi-natural flowing fresh watercourse","STRINGS WATERCOURSE",7824,1,"SU",2640,77850,"SU0264077850",402640,177850,"GB109053027640",100,25,0.5,1,1.5,8.44,23,65,10,2,217.4,507,,,1995-01-01,1995-04-28,2008-10-08,11,FALSE
"20","SOUTH WEST - NORTH WESSEX","WESSEX","MARDEN","RIVER: Natural/semi-natural flowing fresh watercourse","STRINGS WATERCOURSE",7825,1,"SU",2733,77737,"SU0273377737",402733,177737,"GB109053027640",100,25,1,1,1.5,11.77,28,63,5,3,252.1,841,,,1995-01-01,1995-04-28,2015-05-18,14,FALSE
"21","SOUTH WEST - NORTH WESSEX","WESSEX","MARDEN","RIVER: Natural/semi-natural flowing fresh watercourse","COWAGE BROOK",7826,1,"SU",1890,76130,"SU0189076130",401890,176130,"",80,3.6,5.8,1,2.6,8.33,7,58,30,5,270.2,743,,,1995-01-01,1995-04-28,2000-11-15,5,FALSE
"22","SOUTH WEST - NORTH WESSEX","WESSEX","MARDEN","RIVER: Natural/semi-natural flowing fresh watercourse","RIVERS BROOK",7827,1,"SU",2800,70300,"SU0280070300",402800,170300,"GB109053022050",100,10,1.2,1,1.5,12.1,2,78,17,3,298.3,603.7,,,1995-01-01,1995-04-05,2009-10-12,10,FALSE
"23","SOUTH WEST - NORTH WESSEX","WESSEX","SEMINGTON BROOK","RIVER: Natural/semi-natural flowing fresh watercourse","WORTON STREAM",7828,1,"SU",3800,57500,"SU0380057500",403800,157500,"GB109053022210",100,18.2,0.3,1,1.3,8.4,7,34,38,21,264.9,696.7,,,1995-01-01,1995-03-06,2008-09-30,10,FALSE
"24","SOUTH WEST - NORTH WESSEX","WESSEX","MARDEN","RIVER: Natural/semi-natural flowing fresh watercourse","MARDEN",7829,1,"SU",600,69750,"SU0060069750",400600,169750,"GB109053022050",80,6.4,3.8,1,3.8,23.11,10,68,18,3,242.5,499.7,,,1995-01-01,1995-04-05,2017-09-19,27,FALSE
"25","SOUTH WEST - NORTH WESSEX","WESSEX","MARDEN","RIVER: Natural/semi-natural flowing fresh watercourse","ABBERD BROOK",7831,1,"SU",77,71073,"SU0007771073",400077,171073,"GB109053027600",70,3.4,4.8,1,3.7,15.22,2,13,42,43,189.4,655.7,,,1995-01-01,1995-04-05,2022-11-02,14,FALSE
"26","SOUTH WEST - NORTH WESSEX","WESSEX","MARDEN","RIVER: Natural/semi-natural flowing fresh watercourse","MARDEN",7832,1,"ST",98200,70920,"ST9820070920",398200,170920,"",60,2.4,7.3,2,4.8,26.11,22,68,8,2,219.6,530,,,1995-01-01,1995-04-05,2000-11-15,4,FALSE
"27","SOUTH WEST - NORTH WESSEX","WESSEX","MARDEN","RIVER: Natural/semi-natural flowing fresh watercourse","COWAGE BROOK",7833,1,"ST",98750,73550,"ST9875073550",398750,173550,"GB109053027620",70,3,9.1,1,1.8,17.78,5,57,17,22,247.1,673.3,,,1995-01-01,1995-04-12,2011-09-20,13,FALSE
"28","SOUTH WEST - NORTH WESSEX","WESSEX","MARDEN","RIVER: Natural/semi-natural flowing fresh watercourse","MARDEN",7834,1,"ST",95550,72900,"ST9555072900",395550,172900,"GB109053027610",50,2.4,10.9,3,5.9,25.45,5,75,12,8,234.1,684.3,,,1995-01-01,1995-04-12,2013-11-14,11,FALSE
"29","SOUTH WEST - NORTH WESSEX","WESSEX","MARDEN","RIVER: Natural/semi-natural flowing fresh watercourse","MARDEN",7835,1,"SU",2250,68750,"SU0225068750",402250,168750,"GB109053022050",100,12.5,0.75,1,5,79.87,1,20,22,57,249.8,518.7,,,1995-01-01,2000-05-18,2009-10-12,10,FALSE
"30","SOUTH WEST - NORTH WESSEX","WESSEX","MARDEN","RIVER: Natural/semi-natural flowing fresh watercourse","HONEYBALL STREAM",7842,1,"SU",1700,70400,"SU0170070400",401700,170400,"GB109053022050",90,9.5,0.35,1,1.5,9.89,0,8,12,80,120.1,1178,,,1995-01-01,1997-08-29,2008-10-21,9,FALSE
"31","SOUTH WEST - NORTH WESSEX","WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","BRISTOL AVON",7850,1,"ST",94200,86150,"ST9420086150",394200,186150,"GB109053027650",70,1.5,21.8,3,10.7,120.1,15,47,13,25,231.7,638.3,,,1995-01-01,1995-03-27,2016-10-20,20,FALSE
"32","SOUTH WEST - SOUTH WESSEX","WESSEX","UPPER H AVON","RIVER: Natural/semi-natural flowing fresh watercourse","HAMPSHIRE AVON",9112,1,"SU",14804,49137,"SU1480449137",414804,149137,"GB108043022351",83,1.1,26,4,15.3,51.33,2,47,29,22,243.9,,,,1995-01-01,1995-04-25,2022-10-04,38,FALSE
"33","SOUTH WEST - SOUTH WESSEX","WESSEX","UPPER H AVON","RIVER: Natural/semi-natural flowing fresh watercourse","HAMPSHIRE AVON (EASTERN)",9113,1,"SU",13300,56300,"SU1330056300",413300,156300,"GB108043022410",95,2,11,3,5.7,69.09,2,38,48,12,244.4,,,,1995-01-01,1995-04-25,2013-10-17,16,FALSE
"34","SOUTH WEST - SOUTH WESSEX","WESSEX","UPPER H AVON","RIVER: Natural/semi-natural flowing fresh watercourse","HAMPSHIRE AVON (EASTERN)",9114,1,"SU",13872,58624,"SU1387258624",413872,158624,"GB108043022410",100,3,8,3,5,29.64,6,66,22,7,249.6,,,,1995-01-01,1995-04-12,2021-10-19,26,FALSE
"35","SOUTH WEST - SOUTH WESSEX","WESSEX","UPPER H AVON","RIVER: Natural/semi-natural flowing fresh watercourse","HAMPSHIRE AVON (EASTERN)",9115,1,"SU",15316,59265,"SU1531659265",415316,159265,"GB108043022410",105,2.9,6,2,3.8,41.78,3,62,30,6,241.9,,,,1995-01-01,1995-04-25,2013-10-17,24,FALSE
"36","SOUTH WEST - SOUTH WESSEX","WESSEX","UPPER H AVON","RIVER: Natural/semi-natural flowing fresh watercourse","HAMPSHIRE AVON (EASTERN)",9116,1,"SU",16187,59590,"SU1618759590",416187,159590,"GB108043022410",107,2.9,5,2,3.7,33.68,0,70,18,12,241.8,,,,1995-01-01,1991-04-02,2014-09-15,25,FALSE
"37","SOUTH WEST - SOUTH WESSEX","WESSEX","UPPER H AVON","RIVER: Natural/semi-natural flowing fresh watercourse","HAMPSHIRE AVON (EASTERN)",9117,1,"SU",16516,60934,"SU1651660934",416516,160934,"GB108043022420",115,4,3.5,1,2.5,25.01,0,78,12,10,230.6,,,,1995-01-01,1991-04-02,2014-11-18,29,FALSE
"38","SOUTH WEST - SOUTH WESSEX","WESSEX","UPPER H AVON","RIVER: Natural/semi-natural flowing fresh watercourse","HAMPSHIRE AVON (WESTERN)",9119,1,"SU",12522,56289,"SU1252256289",412522,156289,"GB108043022370",95,1.4,15.5,3,6.6,43.31,0,40,42,18,263,,,,1995-01-01,1995-04-25,2021-10-19,35,FALSE
"39","SOUTH WEST - SOUTH WESSEX","WESSEX","UPPER H AVON","RIVER: Natural/semi-natural flowing fresh watercourse","HAMPSHIRE AVON (WESTERN)",9120,1,"SU",6389,60663,"SU0638960663",406389,160663,"GB108043022430",112,3.3,5,1,2.1,25.32,2,13,18,67,245.4,,,,1995-01-01,1995-04-12,2013-04-15,19,FALSE
"40","SOUTH WEST - SOUTH WESSEX","WESSEX","UPPER H AVON","RIVER: Natural/semi-natural flowing fresh watercourse","WOODBOROUGH BROOK",9121,1,"SU",12900,57600,"SU1290057600",412900,157600,"",97,2,6,1,,,,,,,,,,,,1991-04-02,2000-09-11,7,FALSE
"41","SOUTH WEST - SOUTH WESSEX","WESSEX","UPPER H AVON","RIVER: Natural/semi-natural flowing fresh watercourse","HAMPSHIRE AVON",9180,1,"SU",13944,52716,"SU1394452716",413944,152716,"GB108043022351",90,1.2,20.4,3,,,,,,,,,,,,1996-04-01,2009-10-15,6,FALSE
"42","SOUTH WEST - SOUTH WESSEX","WESSEX","UPPER H AVON","RIVER: Natural/semi-natural flowing fresh watercourse","HURLY LAKE",9185,1,"SU",16900,59700,"SU1690059700",416900,159700,"GB108043022410",110,3.1,5,1,,,,,,,,,,,,1991-04-02,2009-03-31,3,FALSE
"43","SOUTH WEST - SOUTH WESSEX","WESSEX","UPPER H AVON","RIVER: Natural/semi-natural flowing fresh watercourse","HAMPSHIRE AVON",9188,1,"SU",13404,52180,"SU1340452180",413404,152180,"GB108043022351",100,1.2,21.6,3,,,,,,,,,,,,1996-04-01,2009-10-15,6,FALSE
"44","SOUTH WEST - SOUTH WESSEX","WESSEX","UPPER H AVON","RIVER: Natural/semi-natural flowing fresh watercourse","HAMPSHIRE AVON",9197,1,"SU",14226,51601,"SU1422651601",414226,151601,"GB108043022351",90,1.2,22.5,3,,,,,,,,,,,,1996-04-01,2009-10-15,6,FALSE
"45","THAMES - WEST","THAMES","THAME","RIVER: Natural/semi-natural flowing fresh watercourse","BEAR BROOK",33206,1,"SP",78602,14611,"SP7860214611",478602,214611,"GB106039030380",80,10,12.7,1,4.1,71.33,0,30,33,37,231,,,,1995-01-01,1990-03-21,2013-10-23,21,FALSE
"46","THAMES - SOUTH EAST","THAMES","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","BLACKWATER (THAMES)",33208,1,"SU",88460,51967,"SU8846051967",488460,151967,"GB106039017180",68,1,7.49,1,7,65,4,8,17,71,169,,,,1995-01-01,1990-01-11,2014-09-11,23,FALSE
"47","THAMES - SOUTH EAST","THAMES","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","BLACKWATER (THAMES)",33209,1,"SU",88150,49870,"SU8815049870",488150,149870,"GB106039017180",71,2.5,4.853,1,5,48.33,4,8,12,77,136,,,,1995-01-01,1990-03-08,2006-10-10,24,FALSE
"48","THAMES - SOUTH EAST","THAMES","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","BLACKWATER (THAMES)",33210,1,"SU",86028,59101,"SU8602859101",486028,159101,"GB106039017290",59,1,15.62,2,8.8,88.33,1,22,17,61,114,,,,1995-01-01,1990-01-11,2009-10-15,16,FALSE
"49","THAMES - SOUTH EAST","THAMES","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","BLACKWATER (THAMES)",33212,1,"SU",84150,60840,"SU8415060840",484150,160840,"GB106039017290",56,1,18.504,3,12.3,65,4,60,20,16,133,,,,1995-01-01,1991-11-28,2014-09-19,20,FALSE
"50","THAMES - SOUTH EAST","THAMES","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","BLACKWATER (THAMES)",33213,1,"SU",74270,63450,"SU7427063450",474270,163450,"GB106039017290",45,0.8,30.85,4,11.7,75.67,2,43,33,22,119,,,,1995-01-01,1995-03-13,2014-09-17,27,FALSE
"51","THAMES - SOUTH EAST","THAMES","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","BLACKWATER (THAMES)",33215,1,"SU",87094,57785,"SU8709457785",487094,157785,"GB106039017180",61,0.9,13.85,2,6.1,48.33,5,28,23,43,148,,,,1995-01-01,1990-03-08,2014-09-15,32,FALSE
"52","THAMES - WEST","THAMES","AMPNEY BROOK","RIVER: Natural/semi-natural flowing fresh watercourse","AMPNEY BROOK",33217,1,"SU",10482,95164,"SU1048295164",410482,195164,"GB106039030300",80,0.7,11.26,3,5,25,0,55,28,18,221,,,,1995-01-01,1990-04-30,2007-10-31,21,FALSE
"53","THAMES - WEST","THAMES","AMPNEY BROOK","RIVER: Natural/semi-natural flowing fresh watercourse","AMPNEY BROOK",33218,1,"SP",7194,1757,"SP0719401757",407194,201757,"GB106039030300",97,2,1.41,1,5,15,5,75,20,0,202,,,,1995-01-01,1995-05-25,2006-11-23,12,FALSE
"54","THAMES - WEST","THAMES","AMPNEY BROOK","RIVER: Natural/semi-natural flowing fresh watercourse","AMPNEY BROOK",33220,1,"SP",6207,1853,"SP0620701853",406207,201853,"GB106039030300",100,3.3,0.52,,,,,,,,,,,,,2002-04-05,2002-04-05,1,FALSE
"55","THAMES - WEST","THAMES","CHERWELL AND RAY (OXON)","RIVER: Natural/semi-natural flowing fresh watercourse","ASHBY BROOK (CHERWELL AND RAY)",33222,1,"SP",53407,48805,"SP5340748805",453407,248805,"GB106039037360",115,3.1,10.2,1,2.5,23.33,33,27,20,20,187,,,,1995-01-01,1990-11-20,2019-10-10,19,FALSE
"56","THAMES - WEST","THAMES","THAME","RIVER: Natural/semi-natural flowing fresh watercourse","BALDON BROOK",33223,1,"SU",57645,98750,"SU5764598750",457645,198750,"GB106039023820",58,4,5.45,1,1.6,4.33,3,50,27,20,243,,,,1995-01-01,1990-03-23,2014-09-26,19,FALSE
"57","THAMES - SOUTH EAST","THAMES","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","BARKHAM BROOK",33224,1,"SU",76340,68870,"SU7634068870",476340,168870,"GB106039017400",41,2.4,4.927,1,3.1,40,8,27,28,37,172,,,,1995-01-01,1990-04-05,2023-04-21,35,FALSE
"58","THAMES - WEST","THAMES","THAMES SOURCE TO TEDDINGTON (W SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","BROADWELL BROOK",33230,1,"SP",28206,1044,"SP2820601044",428206,201044,"GB106039030232",65,0.4,9.52,1,3.2,31.33,1,14,60,26,224,,,,1995-01-01,1989-11-23,2015-09-17,19,FALSE
"59","THAMES - SOUTH EAST","THAMES","THAMES SOURCE TO TEDDINGTON (SE SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","BULL BROOK (THAMES SE)",33233,1,"SU",88270,70310,"SU8827070310",488270,170310,"GB106039017670",62,3.9,4.758,1,2.4,26.67,20,25,28,27,158,,,,1995-01-01,1990-03-12,2016-10-06,24,FALSE
"60","THAMES - WEST","THAMES","THAMES SOURCE TO TEDDINGTON (W SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","BURCOT BROOK",33234,1,"SU",56651,95765,"SU5665195765",456651,195765,"GB106039030334",50,6.6,4.99,1,1.7,8.67,0,40,43,17,215,,,,1995-01-01,1990-04-11,2000-11-28,13,FALSE
"61","THAMES - SOUTH EAST","KENT SOUTH LONDON AND EAST SUSSEX","MOLE","RIVER: Natural/semi-natural flowing fresh watercourse","BURSTOW STREAM",33236,1,"TQ",27610,45100,"TQ2761045100",527610,145100,"GB106039017520",51,1.2,15.392,1,2.8,25,17,32,35,17,101,,,,1995-01-01,1990-03-29,2013-09-20,33,FALSE
"62","THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","ELLEN BROOK",33275,1,"TL",20870,8080,"TL2087008080",520870,208080,"GB107041011970",73,2.5,2.98,1,,,,,,,,,,,,1999-05-25,2002-01-15,3,FALSE
"63","THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","NORTHWOOD HILLS STREAM",33280,1,"TQ",9600,90600,"TQ0960090600",509600,190600,"",60,12,0.01,1,,,,,,,,,,,,1999-07-30,2000-07-25,2,FALSE
"64","THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","HORTON BROOK",33284,1,"TQ",250,82000,"TQ0025082000",500250,182000,"GB106039023040",40,7.4,2.7,1,,,,,,,,,,,,1999-05-04,2013-09-30,6,FALSE
"65","THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","CRANE","RIVER: Natural/semi-natural flowing fresh watercourse","CRANE",33299,1,"TQ",14800,73250,"TQ1480073250",514800,173250,"GB106039023030",13,1.4,28.7,2,6.7,100,12,16,0,72,216,,,,2022-10-31,1999-07-22,2022-10-19,9,FALSE
"66","THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","STORT","RIVER: Natural/semi-natural flowing fresh watercourse","FIDDLERS BROOK",33303,2,"TL",44904,11950,"TL4490411950",544904,211950,"GB106038033260",45,10,8.58,1,2,14,14,33,4,49,273.5,,,,2012-10-04,1998-05-20,2019-11-22,10,FALSE
"67","THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","STORT","RIVER: Natural/semi-natural flowing fresh watercourse","GT HALLINGBURY BROOK",33309,1,"TL",50100,19400,"TL5010019400",550100,219400,"GB106038033330",0,,,1,,,,,,,,,,,,2002-09-18,2002-09-18,1,FALSE
"68","THAMES - SOUTH EAST","KENT SOUTH LONDON AND EAST SUSSEX","WANDLE","RIVER: Natural/semi-natural flowing fresh watercourse","WANDLE",33310,1,"TQ",25640,73500,"TQ2564073500",525640,173500,"GB106039023460",70,0.3,19.29,4,8.5,42.5,42,38,10,10,209,,,,1995-01-01,1998-08-24,2018-10-11,19,FALSE
"69","THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","BRENT","CANAL: Artificial water course primarily used for navigation","GRAND UNION CANAL (BRENT)",33323,1,"TQ",15420,79310,"TQ1542079310",515420,179310,"GB106039023590",10,1.7,32.5,2,17,52.5,5,20,0,75,175.1,,,,1995-01-01,1998-03-23,2007-09-13,8,FALSE
"70","THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","ASH (LEE)","RIVER: Natural/semi-natural flowing fresh watercourse","BURY GREEN BOURNE",33326,1,"TL",44100,19350,"TL4410019350",544100,219350,"GB106038033350",60,5.6,6.8,1,2.8,23,20,70,10,0,255,,,,2015-01-07,1998-11-17,2014-11-07,4,FALSE
"71","THAMES - SOUTH EAST","KENT SOUTH LONDON AND EAST SUSSEX","HOGSMILL","RIVER: Natural/semi-natural flowing fresh watercourse","HOGSMILL RIVER",33336,1,"TQ",18600,68750,"TQ1860068750",518600,168750,"GB106039017440",9,1.5,8.9,3,,,,,,,,,,,,2001-09-25,2001-09-25,1,FALSE
"72","THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","COLNE",33338,1,"TQ",4080,91700,"TQ0408091700",504080,191700,"GB106039023090",41,1,33.25,3,,,,,,,,,,,,1997-08-18,2010-10-07,4,FALSE
"73","THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","TURNFORD BROOK",33348,1,"TL",34100,5030,"TL3410005030",534100,205030,"GB106038033200",50,13,2.5,1,,,,,,,,,,,,1997-06-17,2004-11-12,5,FALSE
"74","THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","BEDWELL PARK BROOK",33351,1,"TL",28250,9400,"TL2825009400",528250,209400,"GB106038033392",60,10,3.5,1,,,,,,,,,,,,1999-10-27,2001-03-28,2,FALSE
"75","THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","SPITAL BROOK",33355,1,"TL",34750,8050,"TL3475008050",534750,208050,"GB106038077851",49,5,2.8,1,,,,,,,,,,,,1997-06-17,2004-11-12,4,FALSE
"76","THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","BULBOURNE",33360,1,"TL",1950,6350,"TL0195006350",501950,206350,"",90,4,7.6,1,,,,,,,,,,,,1997-05-12,2000-10-11,3,FALSE
"77","THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","STEVENAGE BROOK",33375,1,"TL",26150,21450,"TL2615021450",526150,221450,"GB106038033410",71,3.7,3.96,1,3,8,8,68,20,4,222,,,,2019-07-08,1997-04-07,2022-04-12,15,FALSE
"78","THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","MIMRAM","RIVER: Natural/semi-natural flowing fresh watercourse","MIMRAM",33389,1,"TL",19348,20214,"TL1934820214",519348,220214,"GB106038033460",83,3.2,4.5,1,2.4,20.5,7,67,13,13,253.1,,,,2012-10-04,1997-03-27,2022-11-23,53,FALSE
"79","THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","MIMRAM","RIVER: Natural/semi-natural flowing fresh watercourse","MIMRAM",33407,1,"TL",23090,16100,"TL2309016100",523090,216100,"GB106038033270",65,3,11.5,1,4.4,10,10,55,15,20,228,,,,2019-07-08,1997-03-26,2022-04-14,18,FALSE
"80","THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","MIMRAM","RIVER: Natural/semi-natural flowing fresh watercourse","MIMRAM",33408,1,"TL",22669,16930,"TL2266916930",522669,216930,"GB106038033270",67,3,10.5,1,5.5,30,2,64,17,17,253.1,,,,2003-01-01,1997-03-26,2020-10-07,46,FALSE
