"","Site","RCP","Variable","Differences","Estimate","LandUse"
"130","Egham","rcp45","flow",-21.8004637992832,"lower","no_land"
"131","Crick","rcp26","temp",0.282828862007167,"lower","no_land"
"132","Crick","rcp45","temp",1.20355605734767,"lower","no_land"
"133","Ox","rcp26","temp",0.282828862007167,"lower","no_land"
"134","Ox","rcp45","temp",1.20355605734767,"lower","no_land"
"135","Lon","rcp26","temp",0.282828862007167,"lower","no_land"
"136","Lon","rcp45","temp",1.20355605734767,"lower","no_land"
"137","Caver","rcp26","temp",0.282828862007167,"lower","no_land"
"138","Caver","rcp45","temp",1.20355605734767,"lower","no_land"
"139","Egham","rcp26","temp",0.282828862007167,"lower","no_land"
"140","Egham","rcp45","temp",1.20355605734767,"lower","no_land"
"141","Crick","rcp26","P",0.00892731234767001,"lower","no_land"
"142","Crick","rcp45","P",0.0110060682078853,"lower","no_land"
"143","Ox","rcp26","P",0.00285164213261601,"lower","no_land"
"144","Ox","rcp45","P",0.00440650734766968,"lower","no_land"
"145","Lon","rcp26","P",0.00756000842293902,"lower","no_land"
"146","Lon","rcp45","P",0.0123422799283153,"lower","no_land"
"147","Caver","rcp26","P",0.00435466318996433,"lower","no_land"
"148","Caver","rcp45","P",0.00712593756272434,"lower","no_land"
"149","Egham","rcp26","P",0.00636828365591364,"lower","no_land"
"150","Egham","rcp45","P",0.010441759032258,"lower","no_land"
"151","Crick","rcp26","DO",-0.855915818996397,"lower","no_land"
"152","Crick","rcp45","DO",-1.34966277419353,"lower","no_land"
"153","Ox","rcp26","DO",-0.796431978494624,"lower","no_land"
"154","Ox","rcp45","DO",-1.29454395698925,"lower","no_land"
"155","Lon","rcp26","DO",-0.892547129032263,"lower","no_land"
"156","Lon","rcp45","DO",-1.44894029749104,"lower","no_land"
"157","Caver","rcp26","DO",-0.92803868637992,"lower","no_land"
"158","Caver","rcp45","DO",-1.49448445519712,"lower","no_land"
"159","Egham","rcp26","DO",-0.660304577060933,"lower","no_land"
"160","Egham","rcp45","DO",-1.10380699283154,"lower","no_land"
"161","Crick","rcp26","Ni",-0.305766756272396,"lower","no_land"
"162","Crick","rcp45","Ni",-0.533682247311826,"lower","no_land"
"163","Ox","rcp26","Ni",-0.54965400716846,"lower","no_land"
"164","Ox","rcp45","Ni",-0.871314,"lower","no_land"
"165","Lon","rcp26","Ni",-0.310595010752687,"lower","no_land"
"166","Lon","rcp45","Ni",-0.548898673835123,"lower","no_land"
"167","Caver","rcp26","Ni",-0.506848462365594,"lower","no_land"
"168","Caver","rcp45","Ni",-0.84464416845878,"lower","no_land"
"169","Egham","rcp26","Ni",-0.413375270609317,"lower","no_land"
"170","Egham","rcp45","Ni",-0.700893154121863,"lower","no_land"
"171","Crick","rcp26","Am",-0.00886992949820786,"lower","no_land"
"172","Crick","rcp45","Am",-0.0118289035483871,"lower","no_land"
"173","Ox","rcp26","Am",-0.0056045381182796,"lower","no_land"
"174","Ox","rcp45","Am",-0.00793891154121867,"lower","no_land"
"175","Lon","rcp26","Am",-0.00422180602150526,"lower","no_land"
"176","Lon","rcp45","Am",-0.00622111437275967,"lower","no_land"
"177","Caver","rcp26","Am",-0.008737737562724,"lower","no_land"
"178","Caver","rcp45","Am",-0.0129510789964158,"lower","no_land"
"179","Egham","rcp26","Am",-0.00568588720430107,"lower","no_land"
"180","Egham","rcp45","Am",-0.00865060842293907,"lower","no_land"
"181","Crick","rcp26","flow",-0.74855688172043,"median","agri"
"182","Crick","rcp45","flow",-1.03682652329749,"median","agri"
"183","Ox","rcp26","flow",-2.809968172043,"median","agri"
"184","Ox","rcp45","flow",-3.93110275985662,"median","agri"
"185","Lon","rcp26","flow",-13.0607516129032,"median","agri"
"186","Lon","rcp45","flow",-18.3735422939068,"median","agri"
"187","Caver","rcp45","flow",-8.53549885304657,"median","agri"
"188","Caver","rcp26","flow",-6.08583304659497,"median","agri"
"189","Egham","rcp26","flow",-10.7110308243728,"median","agri"
"190","Egham","rcp45","flow",-15.082576344086,"median","agri"
"191","Crick","rcp26","temp",1.63807093189967,"median","agri"
"192","Crick","rcp45","temp",3.2565474551971,"median","agri"
"193","Ox","rcp26","temp",1.63807093189967,"median","agri"
"194","Ox","rcp45","temp",3.2565474551971,"median","agri"
"195","Lon","rcp26","temp",1.63807093189967,"median","agri"
"196","Lon","rcp45","temp",3.2565474551971,"median","agri"
"197","Caver","rcp26","temp",1.63807093189967,"median","agri"
"198","Caver","rcp45","temp",3.2565474551971,"median","agri"
"199","Egham","rcp26","temp",1.63807093189967,"median","agri"
"200","Egham","rcp45","temp",3.2565474551971,"median","agri"
"201","Crick","rcp26","P",0.080321175268817,"median","agri"
"202","Crick","rcp45","P",0.114300293548387,"median","agri"
"203","Ox","rcp26","P",0.030828111469534,"median","agri"
"204","Ox","rcp45","P",0.044213269892473,"median","agri"
"205","Lon","rcp26","P",0.076516007168459,"median","agri"
"206","Lon","rcp45","P",0.112594129032258,"median","agri"
"207","Caver","rcp26","P",0.0460795505376347,"median","agri"
"208","Caver","rcp45","P",0.0665513741935487,"median","agri"
"209","Egham","rcp26","P",0.0618781616487453,"median","agri"
"210","Egham","rcp45","P",0.092001953763441,"median","agri"
"211","Crick","rcp26","DO",-0.46612978494622,"median","agri"
"212","Crick","rcp45","DO",-0.83743118279568,"median","agri"
"213","Ox","rcp26","DO",-0.379127096774194,"median","agri"
"214","Ox","rcp45","DO",-0.742460573476703,"median","agri"
"215","Lon","rcp26","DO",-0.438242903225813,"median","agri"
"216","Lon","rcp45","DO",-0.834860322580647,"median","agri"
"217","Caver","rcp26","DO",-0.451932186379916,"median","agri"
"218","Caver","rcp45","DO",-0.868219032258056,"median","agri"
"219","Egham","rcp26","DO",-0.298758315412187,"median","agri"
"220","Egham","rcp45","DO",-0.60649505376344,"median","agri"
"221","Crick","rcp26","Ni",0.341897598566314,"median","agri"
"222","Crick","rcp45","Ni",0.17975275985663,"median","agri"
